customer_name,city,state,total_orders,total_spent
"Sheila Travis",Longview,TX,1,5579.9628
"Dagny Owen","San Angelo",TX,1,5578.1307
"Aubrey Durham","Port Washington",NY,1,5565.5645
"Ciera Koch",Euless,TX,1,5557.3307
"Quyen Houston","Central Islip",NY,1,5537.9817
"Heather Chaney",Jamestown,NY,1,5528.9570
"Dung Reid","Canyon Country",CA,1,5515.9647
"Hermila Mckay",Coachella,CA,1,5498.3680
"Conception Slater",Bellmore,NY,1,5478.9485
"Bella Perez",Duarte,CA,1,5444.9560
"Renita Henry","New Rochelle",NY,1,5442.0740
"Romelia Myers","Garden City",NY,1,5440.3624
"Carie Kidd",Monroe,NY,1,5431.8955
"Cameron Carroll",Longview,TX,1,5419.9730
"Georgina Gonzales",Endicott,NY,1,5417.9727
"Carissa Cross","Huntington Station",NY,1,5404.0557
"Kellie Franco",Commack,NY,1,5399.9820
"Selene Austin",Duarte,CA,1,5382.0464
"Ollie Zimmerman",Anaheim,CA,2,5371.3380
"Jackeline Colon","Wappingers Falls",NY,1,5342.1559
"Iva Wilcox",Kingston,NY,1,5338.9555
"Genoveva Lloyd",Bayside,NY,1,5333.3350
"Renay Atkins",Woodside,NY,1,5332.9467
"Earl Stanley",Elmhurst,NY,1,5315.9042
"Bev Chang",Ithaca,NY,1,5291.9650
"Caren Stephens",Scarsdale,NY,3,5275.3270
"Kimbery Nieves","San Carlos",CA,1,5270.9448
"Yang Giles","San Angelo",TX,1,5244.9550
"Claris Santiago",Newburgh,NY,1,5231.8529
"Myesha Burgess",Campbell,CA,1,5226.6626
"Ginette Edwards",Baldwin,NY,1,5225.9475
"Nicholas Vazquez","West Hempstead",NY,1,5224.9905
"Melba Wilkinson","Floral Park",NY,1,5224.5464
"Eliseo Knight",Woodhaven,NY,1,5220.4734
"Ashleigh Frank",Levittown,NY,1,5219.9820
"Vernia Madden",Troy,NY,1,5219.9820
"Virgina Berg","Valley Stream",NY,1,5154.1467
"Alysia Nicholson",Oxnard,CA,1,5126.9531
"Cheree Hale",Oswego,NY,1,5122.3480
"Majorie Wyatt","South Ozone Park",NY,1,5119.3540
"Sung Chambers",Kingston,NY,1,5115.9641
"Dante Grimes",Duarte,CA,1,5114.0907
"Novella Patel","Glen Cove",NY,1,5107.8638
"Loreen Byers","South Ozone Park",NY,1,5090.4175
"Chasidy Tran",Vista,CA,1,5080.6230
"Carline Collier",Fresno,CA,2,5073.0365
"Hipolito Padilla","New Rochelle",NY,1,5062.3384
"Major Merrill",Astoria,NY,1,5055.1130
"Ashleigh Finch",Newburgh,NY,1,5024.1645
"Alline Beasley","North Tonawanda",NY,1,5022.9574
"Larraine Horn",Utica,NY,1,5017.8551
"Lise Hebert",Vista,CA,1,5015.7377
"Ai Forbes","Franklin Square",NY,1,5014.9637
"Kandace Ayers","Santa Monica",CA,1,5004.5978
"Ernestina Skinner",Elmhurst,NY,1,4991.9665
"Shanda Stevenson",Freeport,NY,1,4960.4587
"Inocencia Key","Massapequa Park",NY,1,4949.9910
"Romeo Steele","Port Jefferson Station",NY,1,4922.9485
"Dewayne Herring",Webster,NY,1,4921.1544
"Melani Jarvis",Maspeth,NY,1,4918.3660
"Wai Soto",Bethpage,NY,1,4912.1570
"Jamika Blanchard","Fresh Meadows",NY,1,4911.4379
"Genevieve Juarez","New Hyde Park",NY,1,4890.3654
"Latosha Dalton",Bakersfield,CA,1,4877.4060
"Yolando Wade",Massapequa,NY,1,4873.9557
"Yevette Todd","Ballston Spa",NY,1,4863.9680
"Margert Stevens",Rome,NY,1,4851.1372
"Margaretta Clayton",Ridgecrest,CA,1,4835.3760
"Eleanor Mendez","Port Chester",NY,1,4829.1825
"Krissy Ochoa","Port Washington",NY,1,4814.6255
"Theresia Barron","Forest Hills",NY,1,4803.6301
"Arnita Thomas","Orchard Park",NY,1,4799.9840
"Elenore Hensley",Hamburg,NY,1,4789.7348
"Yahaira Robertson",Endicott,NY,1,4784.1587
"Margit Osborn",Plainview,NY,1,4781.9310
"Deandrea Cox",Huntington,NY,1,4778.0236
"Enoch Rosario",Fresno,CA,1,4776.0444
"Kaylee English",Hollis,NY,2,4775.9635
"Alfredo Dodson",Depew,NY,1,4766.8345
"Keturah Massey",Banning,CA,1,4765.4287
"Chauncey Donaldson","Franklin Square",NY,1,4762.4631
"Erik Leblanc","Sugar Land",TX,1,4749.9810
"Bobbi Banks",Bayside,NY,1,4746.6324
"Spring Hayes",Ossining,NY,1,4737.2644
"Emmett Hahn",Freeport,NY,1,4700.0627
"Laverna Hernandez","Niagara Falls",NY,1,4699.9557
"Raven Curtis",Lawndale,CA,1,4692.8641
"Thurman Ellis",Pleasanton,CA,1,4689.4559
"Ayana Keith",Oxnard,CA,1,4685.0969
"Beatris Joyner","Spring Valley",NY,1,4665.5492
"Andy O'neill","Rego Park",NY,1,4655.0404
"Marry Benjamin",Forney,TX,1,4654.9530
"Aileen Marquez",Torrance,CA,1,4644.9130
"Justina Jenkins",Shirley,NY,1,4639.9840
"Cindie Franklin",Lawndale,CA,1,4633.8544
"Janna Hayden",Longview,TX,1,4624.9377
"Evelina Manning","Mount Vernon",NY,1,4617.7580
"Brenda Tate","San Angelo",TX,1,4616.0145
"Clelia Workman","New Windsor",NY,1,4571.0727
"Scarlet Yates",Patchogue,NY,1,4563.0910
"Marcel Lindsay",Ossining,NY,1,4544.8471
"Patrina Tanner",Scarsdale,NY,1,4539.9740
"Charlyn Cantrell","West Islip",NY,1,4534.3830
"Carolann Russell","Glen Cove",NY,1,4521.8839
"Genny Hensley","Redondo Beach",CA,1,4507.6134
"Rebbecca Espinoza","Mount Vernon",NY,1,4503.7459
"Ruth Horton",Hollis,NY,1,4499.9910
"Ileana Holt",Patchogue,NY,1,4499.9910
"Carmina Emerson",Banning,CA,1,4497.5817
"Gilberto Sanders",Woodside,NY,1,4497.0048
"Nathaniel Richard","New Windsor",NY,1,4495.2725
"Jerri Guthrie",Carmel,NY,1,4477.1740
"Alexandria Zamora",Schenectady,NY,1,4475.4635
"Ara Vazquez","San Carlos",CA,1,4466.6452
"Herta Rollins","Mountain View",CA,1,4464.6642
"Hilde Nieves",Campbell,CA,1,4459.2184
"Cinthia Poole","Lake Jackson",TX,1,4458.9550
"Amina Salazar",Canandaigua,NY,1,4447.7240
"Risa Gallagher",Rocklin,CA,1,4445.0609
"Jovita Bishop","Staten Island",NY,1,4436.6034
"Lazaro Moran","Sugar Land",TX,1,4422.9400
"Lurlene Cotton",Pleasanton,CA,1,4399.9920
"Judith Finley",Whitestone,NY,1,4397.9639
"Sarah Kirkland","Wappingers Falls",NY,1,4387.9660
"Graig Cannon",Syosset,NY,1,4369.3445
"Elenore William",Mcallen,TX,1,4334.0585
"Andria Rivers",Amarillo,TX,1,4327.0254
"Graig Roth","West Babylon",NY,1,4318.4515
"Carter Bentley",Carmel,NY,1,4318.0054
"Porter Bass","San Angelo",TX,1,4305.9576
"Christiana Gross","Orchard Park",NY,1,4299.9570
"Jule Davenport","San Carlos",CA,1,4298.4537
"Crystle Gilliam",Smithtown,NY,1,4296.1815
"Afton Juarez",Coram,NY,1,4279.5725
"Delfina Gilliam","West Babylon",NY,1,4274.9810
"Sharika Colon","Long Beach",NY,1,4271.1134
"Annis Sanchez","Los Angeles",CA,1,4269.9572
"Eliana Silva",Farmingdale,NY,1,4236.3466
"Nathalie Knowles","West Islip",NY,1,4231.1220
"Nicola Knight",Scarsdale,NY,1,4226.2305
"Lory Page","Bay Shore",NY,1,4214.9734
"Trudy Riddle",Schenectady,NY,1,4214.9468
"Tajuana Riddle",Bayside,NY,1,4205.9817
"Gustavo Gamble","Port Washington",NY,1,4204.5258
"Louise Flowers",Depew,NY,1,4196.9552
"Gabriel Wagner","Ballston Spa",NY,1,4196.0278
"Collen Dennis","San Pablo",CA,1,4195.3079
"Carmela Hays",Lawndale,CA,1,4186.5267
"Diana Guerra",Merrick,NY,2,4183.6207
"Kendra Harrington",Jamestown,NY,1,4171.9479
"Lory Berg",Oswego,NY,1,4169.9817
"Olympia Figueroa","Hopewell Junction",NY,1,4169.9815
"Tonda Webb",Baldwinsville,NY,1,4169.3542
"Dale Rasmussen",Kingston,NY,1,4167.8460
"Penni Best",Anaheim,CA,1,4162.8555
"Verona O'neill",Selden,NY,1,4157.9724
"Annett Garrett",Scarsdale,NY,1,4156.6929
"Scarlet Reed",Bronx,NY,1,4147.6620
"Mallie Osborn",Newburgh,NY,1,4135.9565
"Abbey Pugh","Forest Hills",NY,1,4132.9920
"Lillia Gillespie","Rego Park",NY,1,4130.3445
"Genoveva Tyler","New York",NY,1,4125.5565
"Alica Hunter","East Elmhurst",NY,2,4122.1454
"Dung King","West Islip",NY,1,4115.9724
"Kimberley Reynolds","Port Washington",NY,1,4109.0650
"Marisa Chambers",Amityville,NY,1,4105.1130
"Ana Palmer",Anaheim,CA,1,4100.4359
"Marni Bolton",Lancaster,NY,1,4095.0138
"Kam Wilder",Newburgh,NY,1,4094.8481
"Sindy Anderson",Pomona,CA,1,4092.8567
"Ladawn Downs",Houston,TX,1,4067.6640
"Maryalice Henry",Richardson,TX,1,4064.8377
"Angella Bridges",Pittsford,NY,1,4062.3334
"Ophelia Rodgers","Hopewell Junction",NY,1,4044.8487
"Rufina Chandler","New Hyde Park",NY,1,4044.7830
"Fairy Robinson",Liverpool,NY,1,4041.1537
"Joi Reeves","San Diego",CA,1,4038.5027
"Reyes Merritt","Staten Island",NY,1,4037.9647
"Georgeann Waller","North Tonawanda",NY,2,4036.9720
"Raeann Duncan",Anaheim,CA,1,4030.9570
"Ellsworth Michael",Carmel,NY,1,4030.0561
"Rudolf Moran",Maspeth,NY,1,4017.4401
"Nelle Beck",Upland,CA,1,4012.6457
"Valentin Mclaughlin",Lindenhurst,NY,1,4001.9184
"Max Charles","Glen Cove",NY,1,3998.3620
"Olevia Noel",Kingston,NY,1,3997.9747
"Julia Joyner",Astoria,NY,1,3995.6247
"Sharyn Brewer",Hollis,NY,1,3994.4559
"Whitley Cannon",Coram,NY,1,3975.2343
"Le Wood",Pittsford,NY,1,3974.6254
"Kathie Freeman",Queensbury,NY,2,3962.0287
"Loraine Sykes",Scarsdale,NY,1,3960.4315
"Wendie Nash",Oxnard,CA,1,3950.3624
"Toshia Cardenas",Amsterdam,NY,1,3935.9680
"Janae Doyle","Jackson Heights",NY,1,3920.6630
"Lee Roman",Brentwood,NY,1,3911.8625
"Anderson Martin",Canandaigua,NY,1,3900.6587
"Arla Ellis",Utica,NY,1,3900.0607
"Arielle Levine",Garland,TX,1,3899.9657
"Henrietta Wagner","Fort Worth",TX,1,3891.5125
"Cher Alston",Wantagh,NY,1,3866.0454
"Aida Koch","West Hempstead",NY,1,3865.7654
"Donnetta Henson",Webster,NY,1,3860.1454
"Laureen Barry","Orchard Park",NY,1,3859.9280
"Weldon Michael",Huntington,NY,1,3840.8820
"Lewis Garner",Brentwood,NY,1,3818.2930
"Georgeann Rojas",Desoto,TX,1,3818.2124
"Darcel Harmon","Santa Clara",CA,1,3816.4624
"Delbert Wilkins",Coram,NY,1,3810.8230
"Winfred Harris","East Meadow",NY,1,3804.9214
"Nettie Mcdaniel","South Ozone Park",NY,1,3801.6487
"Son Warner","Rockville Centre",NY,1,3799.9905
"Verna Solis",Rochester,NY,1,3799.1634
"Jane Henderson","Apple Valley",CA,1,3793.1580
"Travis Whitley","Saint Albans",NY,1,3768.9400
"Reita Dickson",Scarsdale,NY,1,3766.6347
"Han Wade","Howard Beach",NY,1,3763.8715
"Brianna Moss",Hempstead,NY,1,3751.8740
"Rosanne George",Ossining,NY,1,3750.8732
"Miriam Baker",Uniondale,NY,1,3723.8275
"Brianne Hays","San Pablo",CA,1,3722.9830
"Lina Meadows","Glen Cove",NY,1,3720.8885
"Adam Henderson","Los Banos",CA,1,3695.4745
"Deshawn Mendoza",Monsey,NY,3,3690.2361
"Shay Stephenson",Smithtown,NY,1,3671.7054
"Marcene Curtis",Yonkers,NY,1,3668.9260
"Lara Guy",Ronkonkoma,NY,1,3659.9825
"Christia Carson",Helotes,TX,1,3658.1810
"Claudio Wise",Kingston,NY,1,3646.9827
"Lavern Orr",Webster,NY,1,3644.0450
"Katherina Odom",Plainview,NY,1,3643.5440
"Harris Pittman",Jamaica,NY,1,3642.0126
"Sam Lester",Baldwin,NY,1,3633.3590
"Tayna Wade",Bakersfield,CA,1,3628.5127
"Agatha Daniels","South El Monte",CA,1,3613.7245
"Priscilla Wilkins",Albany,NY,1,3599.9910
"Sharell Ross",Vista,CA,1,3594.8630
"Sebrina Hart",Coram,NY,1,3591.2700
"Bronwyn Vargas","New Windsor",NY,1,3589.5660
"Lucy Woods","Palos Verdes Peninsula",CA,2,3589.1220
"Shawnda Glover",Liverpool,NY,1,3586.7070
"Sheila Goodman",Uniondale,NY,1,3581.4620
"Mark Garrett",Monroe,NY,1,3570.5560
"Crysta Velez",Houston,TX,1,3567.5610
"Shanna Bonner",Canandaigua,NY,1,3564.9665
"Derrick Marks",Glendora,CA,1,3563.0245
"Rod Hatfield",Ronkonkoma,NY,1,3546.9290
"Jonell Rivas",Amarillo,TX,1,3535.2759
"Lanie Dunn","North Tonawanda",NY,1,3531.3039
"Micki Rutledge","Richmond Hill",NY,1,3511.7384
"Hee Greer",Selden,NY,1,3509.9730
"America Swanson",Webster,NY,1,3505.7660
"Tricia Daniels",Forney,TX,1,3502.4932
"Daina Sampson",Longview,TX,1,3495.6624
"Julius Holt","East Meadow",NY,1,3489.9734
"Alden Atkinson",Shirley,NY,1,3484.0719
"Catrice Hicks","San Pablo",CA,1,3475.8443
"Tina Bush",Maspeth,NY,1,3464.0224
"Camille Harvey",Huntington,NY,1,3463.5450
"Alejandrina Hodges","Deer Park",NY,1,3447.2278
"Noble Glover","Orchard Park",NY,1,3443.9377
"Sanora Webster","Los Angeles",CA,1,3442.8135
"Chi Goff","Palos Verdes Peninsula",CA,2,3441.2631
"Brenton Whitaker","Niagara Falls",NY,1,3439.9440
"Izola Hobbs",Woodhaven,NY,1,3439.4575
"Tam Fisher",Rochester,NY,1,3439.1719
"Mirella Duffy",Longview,TX,1,3430.9631
"Hubert Reilly",Amityville,NY,1,3419.9810
"Demarcus Reese","Yorktown Heights",NY,1,3403.8540
"Lore Sykes",Buffalo,NY,1,3390.4650
"Eloisa Tucker","Howard Beach",NY,1,3377.9730
"Neville Mcclain","West Hempstead",NY,1,3376.5951
"Shery Acosta","Saratoga Springs",NY,1,3372.1380
"Shemeka Lyons",Pomona,CA,1,3370.5721
"Vinnie Chan","Forest Hills",NY,1,3359.9717
"Bonita Marshall",Endicott,NY,1,3359.7477
"Rodrick Shelton","Canyon Country",CA,1,3349.6487
"Pearlie Cochran",Campbell,CA,1,3347.9814
"Bennett Armstrong",Bethpage,NY,2,3347.6480
"Garret Clay","Corpus Christi",TX,1,3346.0319
"Barton Cox",Amityville,NY,1,3328.0631
"Charlesetta Soto",Poughkeepsie,NY,1,3302.1734
"Steve Bender",Scarsdale,NY,1,3292.4270
"Camila Carroll","San Antonio",TX,1,3292.0046
"Morton Lee","San Angelo",TX,1,3290.7715
"Annabelle Hebert","Spring Valley",NY,1,3287.3220
"Patience Clayton","Niagara Falls",NY,1,3278.0540
"Boyd Irwin",Hamburg,NY,1,3271.8135
"Loise Walker",Shirley,NY,1,3270.2310
"Hassan Nash",Hicksville,NY,1,3269.9827
"Miranda Kennedy",Astoria,NY,1,3254.9907
"Kandace Giles",Wantagh,NY,1,3247.2480
"Dorothea Miranda",Upland,CA,1,3243.7534
"Carisa Carpenter",Victoria,TX,1,3239.9820
"Edda Young","North Tonawanda",NY,1,3238.9624
"Sandy Mills",Schenectady,NY,1,3229.9525
"Barry Albert",Auburn,NY,1,3227.3910
"Darren Witt",Coachella,CA,1,3223.1840
"Divina Madden","Long Beach",NY,1,3199.9920
"Tisa Whitney",Monsey,NY,1,3196.2044
"Emmett Casey","Valley Stream",NY,1,3194.0820
"Florencio Davenport",Jamestown,NY,1,3191.9525
"Season Harvey","East Northport",NY,1,3185.9454
"Adriene Rollins",Plainview,NY,1,3181.5405
"Deandrea Vega",Yonkers,NY,1,3172.4449
"Soledad Moses","Jackson Heights",NY,1,3168.5541
"Doris Kaufman",Duarte,CA,1,3167.9562
"Terrell Mathis",Selden,NY,1,3163.0426
"Skye Pope","Richmond Hill",NY,1,3159.9260
"Tarra Guerrero",Auburn,NY,1,3155.9565
"Latonya Dixon",Garland,TX,1,3149.9910
"Pamala Fowler","Ballston Spa",NY,1,3146.4645
"Leila Barr",Carmel,NY,1,3144.3270
"Rolanda Larsen",Woodhaven,NY,1,3136.0432
"Ryan Carter",Nanuet,NY,1,3126.6414
"Donovan Cantrell",Oakland,CA,1,3126.6414
"Earline Gordon",Ronkonkoma,NY,1,3126.6414
"Vernon Knowles","Huntington Station",NY,1,3121.4817
"Marisol Goodman",Canandaigua,NY,1,3121.1320
"Efren Whitfield",Euless,TX,1,3110.8567
"Ehtel Cobb",Lockport,NY,1,3105.9644
"Douglass Little",Duarte,CA,1,3092.9448
"Garland Weaver",Amsterdam,NY,1,3074.2065
"Kecia Olsen","Santa Cruz",CA,1,3065.9825
"Queenie Vance","Ozone Park",NY,1,3056.9624
"Saran Moses",Brooklyn,NY,1,3049.9830
"Homer Powers","Palos Verdes Peninsula",CA,1,3039.9810
"Tuan Wolfe","West Babylon",NY,1,3038.3214
"Tena Cruz",Farmingdale,NY,2,3037.1355
"Waldo Hart",Queensbury,NY,1,3032.9820
"Ross Pugh","North Tonawanda",NY,1,3032.7401
"Marcelino Mcbride","Clifton Park",NY,1,3027.0319
"Sheree Pena","Staten Island",NY,1,3022.8715
"Danyell Dickerson","Central Islip",NY,1,3018.2852
"Arvilla Weiss","Bay Shore",NY,1,3015.9719
"Loyce Conway","Central Islip",NY,1,3015.3129
"Ophelia Decker","New Windsor",NY,1,3014.3240
"Walton Dejesus",Lockport,NY,1,3011.4810
"Victor Pittman",Astoria,NY,1,2991.7590
"Mellisa Kim","Los Angeles",CA,1,2975.9907
"Tama Berg",Hollis,NY,1,2966.6442
"Babara Ochoa",Scarsdale,NY,1,2963.9810
"Dexter Roberts",Sunnyside,NY,1,2963.9810
"Ezra Fowler",Nanuet,NY,1,2958.3021
"Fransisca Nicholson",Glendora,CA,1,2942.9820
"Marlen Dawson",Woodside,NY,1,2932.4812
"Shayla Hart",Woodhaven,NY,1,2928.6840
"Carlena Salinas",Jamaica,NY,1,2915.1080
"Willis Randolph",Harlingen,TX,1,2899.4846
"Agnes Sims",Buffalo,NY,1,2891.7542
"Jeannette Skinner","Forest Hills",NY,1,2889.8561
"Garth Huff",Glendora,CA,1,2881.1400
"Orval Hunter","San Angelo",TX,1,2877.7652
"India Barron",Huntington,NY,1,2873.9400
"Ingeborg Ellison",Ithaca,NY,1,2867.2750
"Kirstie Vazquez","Saratoga Springs",NY,1,2853.9630
"Hildegarde Christensen",Maspeth,NY,1,2849.9905
"Armando Black",Richardson,TX,1,2843.0734
"Ami Mcmahon",Sunnyside,NY,1,2840.0461
"Penney Hall",Liverpool,NY,1,2835.5514
"Dorine Thornton",Sunnyside,NY,1,2834.8444
"Etsuko Garrison","Richmond Hill",NY,1,2827.9494
"Alpha King","Rockville Centre",NY,1,2813.5587
"Ping Quinn",Rowlett,TX,1,2804.1440
"Corine Stuart","Clifton Park",NY,1,2801.9320
"Nakisha Clay","Port Washington",NY,1,2800.2975
"Bao Wade",Desoto,TX,1,2793.0481
"Sunshine Rosario",Jamaica,NY,1,2789.9907
"Alesia Horne",Selden,NY,1,2787.9590
"Elvina Gates",Pleasanton,CA,1,2780.5470
"Raul Melendez",Elmhurst,NY,1,2770.9630
"Shiela Calderon",Rocklin,CA,1,2768.3634
"Andreas Herman","Mount Vernon",NY,1,2754.9905
"Alissa Craft",Ossining,NY,1,2754.9905
"Luis Tyler",Amarillo,TX,1,2749.3474
"Melita Dominguez",Auburn,NY,1,2748.7464
"Rudolf Gilliam","Palos Verdes Peninsula",CA,1,2747.2395
"Aisha Woods",Webster,NY,1,2743.9840
"Louis Powell","Staten Island",NY,1,2738.2497
"Lenita Bonner","Los Banos",CA,1,2726.4905
"Petronila Gallegos","Howard Beach",NY,1,2719.4764
"Sylvie Wilkerson",Syosset,NY,1,2718.3920
"Roy Chan",Pomona,CA,1,2717.9640
"Renato Morton","Mount Vernon",NY,1,2716.7650
"Carina Lynch","Wappingers Falls",NY,1,2707.8278
"Shawnna Frank",Woodside,NY,1,2705.0070
"Rita Bailey",Ossining,NY,1,2701.1742
"Jeniffer Slater",Schenectady,NY,1,2699.9910
"Houston Vasquez",Fullerton,CA,1,2699.9910
"Zona Cameron","East Northport",NY,1,2696.9907
"Jame Riggs","Bay Shore",NY,1,2687.1434
"Myung Hooper",Elmont,NY,1,2681.9570
"Kattie Stevenson",Helotes,TX,1,2681.1565
"Corina Lynch",Rosedale,NY,1,2672.6926
"Kim Clark",Merrick,NY,1,2664.9644
"Natosha Rowland","Ballston Spa",NY,1,2658.7627
"Erma Salinas",Merrick,NY,1,2658.1454
"Dann Huff","Huntington Station",NY,1,2653.0730
"Bea Kane",Mahopac,NY,1,2643.2447
"Ashton Lott","Floral Park",NY,1,2635.1220
"Genny Fields",Amityville,NY,1,2615.9760
"Aide Franco",Atwater,CA,1,2605.2824
"Yvette Rogers","Franklin Square",NY,1,2599.1680
"Graciela Barber",Oxnard,CA,2,2593.1289
"Nanette Harris","East Meadow",NY,1,2559.9920
"Candis Harding","Ballston Spa",NY,1,2548.9732
"Violet Valenzuela",Plattsburgh,NY,1,2546.4665
"Elmo Sweeney","San Carlos",CA,1,2518.1494
"Lamar Greer",Levittown,NY,1,2511.4647
"Raphael O'neil",Fairport,NY,1,2509.9460
"Alejandro Norman",Upland,CA,1,2509.8810
"Timothy Byers",Ronkonkoma,NY,1,2501.7640
"Michel Blankenship",Forney,TX,1,2500.4381
"Silas Tate","Corpus Christi",TX,1,2497.9559
"Rubin Decker",Buffalo,NY,1,2484.4274
"Karey Steele",Farmingdale,NY,1,2478.4000
"Myrl Gay",Garland,TX,1,2474.9727
"Devin Velazquez",Brentwood,NY,1,2469.9585
"Carman Hardy",Jamestown,NY,1,2465.4572
"Lolita O'neill","Massapequa Park",NY,1,2452.9480
"Lea Key",Banning,CA,1,2449.7546
"Travis Goodman","Los Banos",CA,1,2446.9410
"Vanda Holmes",Syosset,NY,1,2432.9444
"Mariam Miranda","Franklin Square",NY,1,2431.1650
"Rochelle Ward",Glendora,CA,1,2427.9567
"Ronald Parsons",Maspeth,NY,1,2420.5530
"Joel Wynn","San Diego",CA,1,2419.7634
"Mercedez Brooks",Duarte,CA,1,2414.9630
"Sherilyn Wilcox",Ossining,NY,1,2411.4715
"Alexis Mack","New City",NY,1,2402.4760
"Gertrude Terry",Upland,CA,1,2379.9730
"Ilda Roberson",Kingston,NY,1,2379.4635
"Dacia William","Sugar Land",TX,2,2371.4545
"Ivonne Yang","El Paso",TX,1,2371.1624
"Khalilah Robertson","Spring Valley",NY,1,2362.1628
"Shasta Combs","Yorktown Heights",NY,1,2360.3907
"Clare Neal",Mahopac,NY,1,2357.9642
"Faustino Delacruz","South Richmond Hill",NY,1,2346.6624
"Justin Newton","Apple Valley",CA,1,2337.4625
"Tanesha Hampton",Syosset,NY,1,2335.5207
"Ebony Cotton","West Babylon",NY,1,2333.3560
"Bee Baker",Liverpool,NY,1,2329.5760
"Mireille Puckett",Oxnard,CA,1,2320.5564
"Eliz Lynch",Uniondale,NY,1,2319.9920
"Wanita Davenport","Spring Valley",NY,1,2319.9760
"Shea Howell","South El Monte",CA,1,2319.9680
"Angelika Perry",Canandaigua,NY,1,2319.7539
"Mariana Strong","Santa Clara",CA,2,2317.0840
"Malinda Baxter",Whitestone,NY,1,2312.4447
"Laurette Hebert",Canandaigua,NY,1,2309.3035
"Edra Fitzgerald","Central Islip",NY,1,2297.7575
"Agustina Lawrence",Brooklyn,NY,1,2283.8072
"Kerrie Morton",Pittsford,NY,1,2282.9650
"Onita Johns",Elmont,NY,2,2270.5392
"Nanette Roman",Glendora,CA,1,2259.3407
"Justina Jenkins",Baldwin,NY,1,2258.1215
"Zelda Pratt",Lancaster,NY,1,2252.9150
"Maximina Hutchinson","Corpus Christi",TX,1,2230.5485
"Loan Graham","Jackson Heights",NY,1,2228.2451
"Laurence Christian",Jamaica,NY,1,2222.8722
"Shanita Wiley","Saint Albans",NY,1,2217.6427
"Cira Downs",Oakland,CA,1,2214.0537
"Lavonda Stephenson","Bay Shore",NY,1,2208.9745
"Dane Mcdaniel",Canandaigua,NY,1,2205.7557
"Jacquline Duncan","Jackson Heights",NY,3,2201.6567
"Willetta Murphy","East Elmhurst",NY,1,2200.9444
"Honey Camacho",Bayside,NY,1,2200.8641
"Thad Castro",Brentwood,NY,1,2197.9500
"Rory Cooper",Rocklin,CA,1,2197.8920
"Tad Gardner","Niagara Falls",NY,1,2195.5747
"Divina Reeves",Newburgh,NY,1,2195.0517
"Willow Gardner",Pleasanton,CA,1,2190.5660
"Laureen Paul",Bellmore,NY,1,2165.0817
"Manie Sanchez",Queensbury,NY,1,2157.9160
"Pasquale Hogan",Vista,CA,1,2155.1720
"Elanor Patrick",Victoria,TX,1,2136.5310
"Emory O'connor",Rochester,NY,1,2135.0624
"Carlie Terrell",Yonkers,NY,1,2133.9264
"Vernetta Banks",Brooklyn,NY,1,2123.5632
"Selene Vega",Campbell,CA,1,2119.2590
"Collen Hayes",Smithtown,NY,1,2113.5840
